date,avg_hourly_earnings,cpi_all_items,cpi_core,cpi_energy,cpi_food,cpi_shelter,epop,lfpr,unemp_rate,headline_yoy_pct,core_yoy_pct,energy_yoy_pct,food_yoy_pct,shelter_yoy_pct,wage_yoy_pct,headline_minus_core_yoy
2018-03-01,26.85,249.577,256.271,215.72,252.154,304.812,60.4,62.9,4.0,2.3309497646499366,2.1227843662331214,6.513667246010435,1.2585334511284074,3.3218987702195113,2.834163155878988,0.20816539841681525
2018-04-01,26.91,250.227,256.63,219.165,252.661,305.72,60.4,62.9,4.0,2.4709963021052994,2.150644636125887,7.987524266582557,1.315256575280399,3.3742362404942217,2.7883880825057217,0.32035166597941256
2018-05-01,26.98,250.792,257.145,221.045,252.634,306.808,60.5,62.9,3.8,2.781921607842497,2.272998448872432,11.386300762412493,1.1705531594523144,3.4901724004169132,2.9378099961846704,0.5089231589700649
2018-06-01,27.03,251.018,257.399,220.947,252.968,307.183,60.5,63.0,4.0,2.8075506935940187,2.245517307127032,11.697706867265234,1.382259467214908,3.3538011204010676,2.9322162985529365,0.5620333864669869
2018-07-01,27.1,251.214,257.699,219.929,253.365,308.05,60.6,63.0,3.8,2.854124785561929,2.267595293370639,12.212108533934707,1.3715456294986383,3.4849971109528477,2.8462998102466885,0.58652949219129
2018-08-01,27.21,251.663,257.891,222.781,253.677,309.004,60.3,62.6,3.8,2.6429238568742575,2.1208941334864617,10.58873169520973,1.3856360657048095,3.3790113213607142,3.1854379977246827,0.5220297233877957
2018-09-01,27.32,252.182,258.368,223.955,254.103,309.522,60.4,62.8,3.7,2.332055105808828,2.1976804898501623,5.280106053412181,1.4031055082665889,3.2734867922765476,3.133257833144598,0.13437461595866562
2018-10-01,27.37,252.772,258.917,226.022,254.012,310.401,60.5,62.9,3.8,2.492032470218053,2.126409125691242,8.493337429438185,1.2742408777749459,3.1870192211798543,3.2830188679245254,0.3656233445268109
2018-11-01,27.44,252.594,259.439,218.5,254.732,311.247,60.6,62.9,3.8,2.147328577667773,2.2153843729315836,2.5595291179880464,1.4884699357758713,3.25680920943503,3.3911077618688834,-0.06805579526381056
2018-12-01,27.56,252.767,260.063,213.63,255.681,312.132,60.6,63.0,3.9,2.0023809043401064,2.2485295505299874,0.02622042008857406,1.6664678516044473,3.208697607364397,3.4923019151333,-0.24614864618988097
2019-01-01,27.59,252.561,260.766,204.34,256.302,312.998,60.6,63.1,4.0,1.4875893578291333,2.1794329242488475,-5.771137395955817,1.660346824477621,3.2271043787700293,3.2559880239521055,-0.6918435664197142
2019-02-01,27.69,253.319,261.186,208.144,256.998,314.072,60.7,63.1,3.8,1.5188615351321877,2.1410889637129227,-5.449689062918761,1.9679572128012301,3.386616806678444,3.552729992520587,-0.622227428580735
2019-03-01,27.77,254.277,261.567,214.934,257.374,315.051,60.6,63.0,3.8,1.8831863513063984,2.06656235001228,-0.3643612089745951,2.070163471529307,3.3591197196960687,3.426443202979512,-0.1833759987058814
2019-04-01,27.79,255.233,261.997,222.42,257.018,316.172,60.5,62.8,3.7,2.000583470209061,2.0913377235709074,1.4851823968243139,1.724445007341835,3.4188146015962317,3.270159791898908,-0.09075425336184662
2019-05-01,27.88,255.296,262.217,220.523,257.523,317.03,60.6,62.9,3.6,1.7959105553606136,1.97242800754438,-0.23615100997533833,1.9352106208982311,3.3317253787384926,3.335804299481082,-0.17651745218376647
2019-06-01,27.97,255.213,262.739,214.926,257.664,317.949,60.7,63.0,3.6,1.671194894390049,2.0746001344216447,-2.7250879170117814,1.8563612788969452,3.504751239489168,3.4776174620791522,-0.4034052400315957
2019-07-01,28.03,255.802,263.28,216.696,257.836,318.777,60.8,63.1,3.7,1.826331335037068,2.1657049503490455,-1.4700198700489775,1.7646478400726195,3.4822269112157134,3.4317343173431825,-0.3393736153119775
2019-08-01,28.14,256.036,263.877,213.847,258.046,319.37,60.8,63.1,3.6,1.7376412106666406,2.321135673598529,-4.010216311085779,1.722268869467869,3.3546491307555826,3.4178610804851184,-0.5834944629318883
2019-09-01,28.16,256.43,264.388,213.015,258.575,320.436,61.0,63.2,3.5,1.6844977040391562,2.3300099083477743,-4.884909914938285,1.7599162544322589,3.52608215248027,3.0746705710102518,-0.6455122043086181
2019-10-01,28.24,257.155,264.97,215.268,259.088,320.862,61.0,63.3,3.6,1.7339736996186295,2.3378148209658223,-4.757943916963836,1.9983307875218514,3.3701566683097095,3.178662769455598,-0.6038411213471928
2019-11-01,28.34,257.879,265.548,217.488,259.624,321.611,61.0,63.3,3.6,2.092290394862917,2.3546960942649298,-0.4631578947368431,1.9204497275568055,3.329831291546581,3.279883381924198,-0.26240569940201297
2019-12-01,28.38,258.63,266.02,221.18,260.052,322.247,61.1,63.3,3.6,2.3195274699624457,2.2905988164406255,3.534147825679912,1.7095521372335165,3.2406161495777352,2.9753265602322276,0.02892865352182028
2020-01-01,28.43,259.127,266.716,220.147,260.858,323.487,61.1,63.3,3.6,2.599767976845202,2.2817391837892886,7.735636683958114,1.777590498708559,3.3511396238953717,3.0445813700616053,0.31802879305591336
2020-02-01,28.54,259.25,267.37,214.294,261.567,324.483,61.1,63.3,3.5,2.3413166797595197,2.3676613601035346,2.9546852179260563,1.7778348469637884,3.314845003693412,3.069700252798846,-0.026344680344014826
2020-03-01,28.73,258.076,267.054,201.681,262.239,324.54,59.8,62.6,4.4,1.4940399642909163,2.097741687598198,-6.166078889333459,1.8902453239254768,3.0118933125113267,3.4569679510262796,-0.6037017233072817
2020-04-01,30.04,256.032,265.746,182.586,265.777,324.391,51.2,60.1,14.8,0.3130472940411133,1.4309324152566472,-17.90936066900457,3.4079325183450138,2.5995344306263712,8.096437567470316,-1.1178851212155339
2020-05-01,29.72,255.802,265.412,180.04,267.464,324.973,52.7,60.8,13.2,0.1982013035848551,1.2184564692601985,-18.357722323748547,3.8602377263389887,2.505441125445551,6.599713055954082,-1.0202551656753434
2020-06-01,29.38,257.042,265.849,188.734,268.849,325.425,54.7,61.5,11.0,0.7166562831830481,1.1836841884912408,-12.186520011538848,4.340924615002484,2.3513204947963384,5.04111548087236,-0.4670279053081927
2020-07-01,29.39,258.352,267.389,191.966,267.824,326.249,55.2,61.5,10.2,0.9968647625897997,1.560695837131587,-11.412301103850552,3.873780232395796,2.3439583156877886,4.851944345344261,-0.5638310745417874
